Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,13,591,362,265,45,102,0,127,744,6,29
C:\Users\jccline\Documents\GitHub\Workspace2\COMS311Project2\src,13,591,362,265,45,102,0,127,744,6,29
